name_in_home_country,date_of_birth,place_of_birth,age,height,citizenship,position,foot,current_club,current_club_url,current_club_id,joined,fetched_name,national_team,player_id,full_name,first_left,age_first_left,started_abroad,no_transfers,days_abroad,days_home,currently_abroad,total_days,has_played_home_over_16
سفيان أمرابط,1996-08-21,"Huizen, Netherlands",26,"1,85 m",Morocco,midfield - Defensive Midfield,right,ACF Fiorentina,/acf-fiorentina/startseite/verein/430,430,"Jan 30, 2020",Sofyan Amrabat,morocco,287579,,,,True,True,3743,0,True,3743,False
Diogo Meireles Costa,1999-09-19,"Rothrist, Switzerland",23,"1,86 m",Portugal,Goalkeeper,right,FC Porto,/fc-porto/startseite/verein/720,720,"Jul 1, 2019",Diogo Costa,portugal,357153,,,,False,False,0,2619,False,2619,True
Немања Максимовић,1995-01-26,"Banja Koviljača, Yugoslavia (Republic)",27,"1,84 m",Serbia,midfield - Defensive Midfield,right,Getafe CF,/getafe-cf/startseite/verein/3709,3709,"Jul 16, 2018",Nemanja Maksimović,serbia,273152,,2013-01-16,17.97435950087955,False,False,3595,721,True,4316,True
ياسين مرياح,1993-07-02,"Tunis, Tunisia",29,"1,88 m",Tunisia,Defender - Centre-Back,right,Esperance Tunis,/esperance-tunis/startseite/verein/3342,3342,"Aug 4, 2022",,,306330,,2018-07-28,25.071014462993766,False,False,1468,3421,False,4889,True
إلياس إميليان شاعر / Ilias Emilian Chair,1997-10-30,"Antwerp, Belgium",25,"1,72 m",Morocco,midfield - Attacking Midfield,right,Queens Park Rangers,/queens-park-rangers/startseite/verein/1039,1039,"Jul 1, 2018",Ilias Chair,morocco,380473,,,,True,True,3308,0,True,3308,False
,1993-03-05,"Aarau, Switzerland",29,"1,83 m",Switzerland,Defender - Right-Back,right,1.FSV Mainz 05,/1-fsv-mainz-05/startseite/verein/39,39,"Jul 9, 2021",Silvan Widmer,switzerland,168989,,2013-06-30,20.320745805868704,False,False,2338,2670,True,5008,True
,1995-09-14,"Pikine, Senegal",27,"1,98 m",Senegal,Defender - Centre-Back,right,Olympiacos Piraeus,/olympiacos-piraeus/startseite/verein/683,683,"Jul 1, 2017",Pape Abou Cissé,senegal,364234,,2015-01-01,19.29950649226199,False,False,2880,1205,True,4085,True
Idrissa Gana Gueye,1989-09-26,"Dakar, Senegal",33,"1,74 m",Senegal,midfield - Central Midfield,right,Everton FC,/everton-fc/startseite/verein/29,29,"Sep 1, 2022",Idrissa Gueye,senegal,126665,,2008-07-01,18.762876718892244,False,False,5255,1009,True,6264,True
Michael Steveen Estrada Martínez,1996-04-07,"Guayaquil, Ecuador",26,"1,88 m",Ecuador,Attack - Centre-Forward,right,CD Cruz Azul,/cd-cruz-azul/startseite/verein/3711,3711,"Aug 16, 2022",,,265481,,2020-01-01,23.734915843583373,False,False,1054,2825,True,3879,True
Андрија Живковић,1996-07-11,"Niš, Yugoslavia (Republic)",26,"1,69 m",Serbia,Attack - Right Winger,left,PAOK Thessaloniki,/paok-thessaloniki/startseite/verein/1091,1091,"Sep 8, 2020",Andrija Zivkovic,serbia,206843,,2016-07-05,19.983983244009117,False,False,2329,1455,True,3784,True
Kevin Nahin Álvarez Campos,1999-01-15,"Colima, Mexico",23,"1,76 m",Mexico,Defender - Right-Back,right,CF Pachuca,/cf-pachuca/startseite/verein/4035,4035,"Jan 1, 2020",Kevin Álvarez,mexico,572705,,,,False,False,0,2866,False,2866,True
,2004-11-20,"Yaoundé, Cameroon",17,"1,79 m",Germany,Attack - Centre-Forward,left,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,16,"Jul 29, 2020",Youssoufa Moukoko,germany,467720,,,,False,False,0,730,False,730,True
Christopher Alan Nkunku,1997-11-14,"Lagny-sur-Marne, France",25,"1,75 m",France,Attack - Second Striker,right,RB Leipzig,/rb-leipzig/startseite/verein/23826,23826,"Jul 18, 2019",Christopher Nkunku,france,344381,,2019-07-18,21.673271867321027,False,False,1221,2072,True,3293,True
Bailey Colin Wright,1992-07-28,"Melbourne, Australia",30,"1,86 m",Australia,Defender - Centre-Back,right,Sunderland AFC,/sunderland-afc/startseite/verein/289,289,"Aug 2, 2020",Bailey Wright,australia,147419,,2009-07-01,16.925741117202953,False,False,4890,338,True,5228,True
Facundo Daniel Torres Pérez,2000-04-13,"Montevideo, Uruguay",22,"1,77 m",Uruguay,Attack - Left Winger,left,Orlando City SC,/orlando-city-sc/startseite/verein/45604,45604,"Jan 24, 2022",Facundo Torres,uruguay,465822,,2022-01-24,21.782788147600566,False,False,300,2112,True,2412,True
Ethan Kwame Colm Raymond Ampadu,2000-09-14,"Exeter, England",22,"1,83 m",Wales,Defender - Centre-Back,right,Spezia Calcio,/spezia-calcio/startseite/verein/3522,3522,"Sep 1, 2022",Ethan Ampadu,wales,392771,,,,True,True,2258,0,True,2258,False
